I,II,III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
-0.055,0.095,0.15,-0.02,-0.103,0.122,-0.05,0.055,0.035,0.055,-0.02,0.0
-0.055,0.095,0.15,-0.02,-0.103,0.122,-0.05,0.055,0.035,0.055,-0.02,0.0
-0.055,0.095,0.15,-0.02,-0.103,0.122,-0.049,0.052,0.035,0.055,-0.02,0.0
-0.055,0.095,0.15,-0.02,-0.103,0.122,-0.052,0.049,0.035,0.055,-0.02,0.0
-0.054,0.095,0.149,-0.02,-0.102,0.122,-0.055,0.05,0.035,0.055,-0.02,0.0
-0.05,0.095,0.145,-0.023,-0.098,0.12,-0.055,0.05,0.035,0.055,-0.02,0.0
-0.05,0.095,0.145,-0.023,-0.098,0.12,-0.055,0.046,0.035,0.055,-0.02,0.0
-0.05,0.095,0.145,-0.023,-0.098,0.12,-0.055,0.044,0.036,0.056,-0.02,0.003
-0.05,0.095,0.145,-0.023,-0.098,0.12,-0.055,0.046,0.033,0.053,-0.02,0.006
-0.05,0.095,0.145,-0.023,-0.098,0.12,-0.055,0.044,0.03,0.05,-0.02,0.005
-0.05,0.095,0.145,-0.023,-0.098,0.12,-0.055,0.04,0.03,0.05,-0.02,0.005
-0.05,0.095,0.145,-0.023,-0.098,0.12,-0.059,0.04,0.026,0.05,-0.02,0.005
-0.049,0.096,0.145,-0.024,-0.098,0.12,-0.06,0.041,0.024,0.047,-0.019,0.004
-0.052,0.093,0.145,-0.021,-0.099,0.119,-0.06,0.038,0.026,0.045,-0.022,0.007
-0.055,0.09,0.145,-0.018,-0.1,0.117,-0.06,0.035,0.024,0.045,-0.025,0.01
-0.055,0.09,0.145,-0.018,-0.1,0.117,-0.06,0.035,0.02,0.045,-0.025,0.01
-0.055,0.09,0.145,-0.018,-0.1,0.117,-0.06,0.035,0.02,0.045,-0.025,0.01
-0.056,0.09,0.146,-0.018,-0.101,0.117,-0.06,0.032,0.017,0.042,-0.025,0.01
-0.053,0.09,0.143,-0.019,-0.098,0.116,-0.06,0.03,0.014,0.039,-0.025,0.01
-0.05,0.09,0.14,-0.02,-0.095,0.115,-0.06,0.03,0.015,0.04,-0.025,0.01
-0.05,0.09,0.14,-0.02,-0.095,0.115,-0.06,0.03,0.015,0.04,-0.025,0.01
-0.05,0.09,0.14,-0.02,-0.095,0.115,-0.06,0.03,0.011,0.04,-0.025,0.006
-0.05,0.09,0.14,-0.02,-0.095,0.115,-0.063,0.027,0.01,0.037,-0.028,0.004
-0.05,0.09,0.14,-0.02,-0.095,0.115,-0.066,0.025,0.008,0.034,-0.031,0.006
-0.05,0.09,0.14,-0.02,-0.095,0.115,-0.065,0.024,0.004,0.035,-0.03,0.004
-0.05,0.09,0.14,-0.02,-0.095,0.115,-0.065,0.02,0.005,0.035,-0.03,0.0
-0.05,0.09,0.14,-0.02,-0.095,0.115,-0.065,0.02,0.005,0.031,-0.03,0.0
-0.053,0.087,0.14,-0.017,-0.097,0.113,-0.065,0.017,0.002,0.03,-0.03,0.0
-0.056,0.084,0.14,-0.014,-0.098,0.112,-0.065,0.014,-0.001,0.03,-0.03,0.0
-0.055,0.085,0.14,-0.015,-0.098,0.112,-0.065,0.015,0.0,0.03,-0.03,-0.001
-0.055,0.085,0.14,-0.015,-0.098,0.112,-0.065,0.015,0.0,0.03,-0.03,-0.005
-0.055,0.085,0.14,-0.015,-0.098,0.112,-0.065,0.011,-0.004,0.026,-0.034,-0.005
-0.055,0.085,0.14,-0.015,-0.098,0.112,-0.066,0.01,-0.008,0.025,-0.035,-0.005
-0.055,0.085,0.14,-0.015,-0.098,0.112,-0.063,0.008,-0.012,0.025,-0.035,-0.005
-0.055,0.085,0.14,-0.015,-0.098,0.112,-0.06,0.005,-0.015,0.025,-0.035,-0.006
-0.055,0.085,0.14,-0.015,-0.098,0.112,-0.06,0.005,-0.015,0.025,-0.035,-0.01
-0.055,0.085,0.14,-0.015,-0.098,0.112,-0.06,0.001,-0.019,0.029,-0.035,-0.01
-0.055,0.085,0.14,-0.015,-0.098,0.112,-0.06,-0.001,-0.024,0.03,-0.038,-0.009
-0.055,0.085,0.14,-0.015,-0.098,0.112,-0.06,0.001,-0.025,0.03,-0.041,-0.012
-0.055,0.085,0.14,-0.015,-0.098,0.112,-0.059,-0.001,-0.026,0.03,-0.04,-0.015
-0.055,0.085,0.14,-0.015,-0.098,0.112,-0.055,-0.005,-0.03,0.03,-0.04,-0.015
-0.059,0.081,0.14,-0.011,-0.1,0.11,-0.055,-0.005,-0.034,0.03,-0.04,-0.015
-0.06,0.08,0.14,-0.01,-0.1,0.11,-0.055,-0.008,-0.036,0.03,-0.041,-0.014
-0.062,0.078,0.14,-0.008,-0.101,0.109,-0.055,-0.01,-0.033,0.03,-0.038,-0.017
-0.065,0.075,0.14,-0.005,-0.103,0.107,-0.055,-0.011,-0.03,0.03,-0.035,-0.02
-0.065,0.075,0.14,-0.005,-0.103,0.107,-0.055,-0.015,-0.03,0.03,-0.035,-0.02
-0.065,0.071,0.136,-0.003,-0.101,0.103,-0.055,-0.015,-0.03,0.03,-0.031,-0.02
-0.064,0.07,0.134,-0.003,-0.099,0.102,-0.052,-0.018,-0.027,0.03,-0.029,-0.02
-0.067,0.068,0.136,-0.001,-0.102,0.102,-0.049,-0.02,-0.024,0.03,-0.031,-0.018
-0.069,0.065,0.134,0.002,-0.102,0.099,-0.05,-0.021,-0.025,0.03,-0.029,-0.014
-0.065,0.065,0.13,0.0,-0.098,0.097,-0.05,-0.025,-0.025,0.03,-0.025,-0.01
-0.069,0.06,0.13,0.004,-0.099,0.095,-0.05,-0.026,-0.021,0.03,-0.025,-0.006
-0.069,0.061,0.131,0.004,-0.1,0.096,-0.051,-0.022,-0.019,0.03,-0.026,-0.005
-0.074,0.054,0.128,0.01,-0.101,0.09,-0.048,-0.017,-0.021,0.03,-0.023,-0.004
-0.089,0.036,0.125,0.026,-0.107,0.08,-0.045,-0.015,-0.019,0.03,-0.02,0.001
-0.095,0.025,0.12,0.035,-0.108,0.072,-0.045,-0.015,-0.015,0.03,-0.02,0.005
-0.076,0.013,0.089,0.032,-0.083,0.051,-0.045,-0.011,-0.015,0.03,-0.02,0.005
-0.055,0.001,0.056,0.027,-0.055,0.028,-0.045,-0.01,-0.016,0.03,-0.017,0.007
-0.049,-0.009,0.039,0.029,-0.043,0.015,-0.045,-0.009,-0.013,0.03,-0.014,0.013
-0.05,-0.017,0.033,0.033,-0.041,0.008,-0.045,-0.004,-0.01,0.03,-0.015,0.015
-0.05,-0.025,0.025,0.037,-0.037,0.0,-0.045,0.0,-0.01,0.03,-0.015,0.015
-0.054,-0.033,0.021,0.043,-0.037,-0.006,-0.041,0.0,-0.01,0.03,-0.011,0.019
-0.056,-0.041,0.015,0.048,-0.035,-0.013,-0.04,0.003,-0.007,0.029,-0.01,0.024
-0.054,-0.049,0.005,0.052,-0.029,-0.021,-0.038,0.005,-0.004,0.032,-0.008,0.025
-0.056,-0.057,-0.001,0.057,-0.027,-0.029,-0.035,0.005,-0.005,0.035,-0.004,0.026
-0.06,-0.065,-0.005,0.063,-0.027,-0.035,-0.035,0.01,-0.005,0.035,-0.005,0.03
-0.057,-0.069,-0.013,0.064,-0.022,-0.041,-0.031,0.014,-0.001,0.039,-0.006,0.03
-0.05,-0.072,-0.022,0.061,-0.014,-0.046,-0.03,0.015,0.0,0.04,-0.002,0.032
-0.055,-0.082,-0.027,0.068,-0.013,-0.054,-0.029,0.016,0.0,0.042,0.0,0.038
-0.068,-0.099,-0.032,0.084,-0.018,-0.065,-0.024,0.021,0.0,0.045,0.001,0.04
-0.07,-0.11,-0.04,0.09,-0.015,-0.075,-0.02,0.025,0.0,0.045,0.005,0.04
-0.058,-0.106,-0.048,0.082,-0.004,-0.077,-0.02,0.025,0.004,0.049,0.005,0.044
-0.051,-0.104,-0.053,0.078,0.002,-0.079,-0.017,0.028,0.005,0.05,0.004,0.045
-0.048,-0.105,-0.057,0.077,0.005,-0.081,-0.015,0.031,0.005,0.05,0.007,0.047
-0.045,-0.105,-0.06,0.075,0.008,-0.082,-0.015,0.03,0.005,0.05,0.01,0.05
-0.045,-0.105,-0.06,0.075,0.008,-0.082,-0.01,0.03,0.005,0.05,0.01,0.05
-0.041,-0.105,-0.064,0.074,0.012,-0.085,-0.005,0.03,0.005,0.05,0.014,0.05
-0.039,-0.104,-0.065,0.072,0.014,-0.085,-0.005,0.03,0.005,0.05,0.016,0.05
-0.043,-0.108,-0.065,0.076,0.012,-0.086,-0.003,0.03,0.005,0.05,0.014,0.05
-0.044,-0.109,-0.065,0.077,0.01,-0.086,0.001,0.03,0.005,0.051,0.016,0.05
-0.045,-0.11,-0.065,0.078,0.01,-0.087,0.0,0.03,0.005,0.055,0.02,0.05
-0.063,-0.135,-0.073,0.099,0.005,-0.103,-0.004,0.034,0.005,0.055,0.02,0.05
-0.06,-0.141,-0.081,0.101,0.011,-0.111,-0.006,0.035,0.005,0.055,0.019,0.053
-0.041,-0.13,-0.089,0.086,0.025,-0.11,-0.003,0.035,0.005,0.055,0.022,0.056
-0.045,-0.142,-0.096,0.094,0.026,-0.119,0.0,0.035,0.006,0.055,0.025,0.055
-0.075,-0.175,-0.1,0.125,0.013,-0.137,0.0,0.035,0.01,0.055,0.025,0.055
-0.077,-0.181,-0.104,0.129,0.014,-0.142,0.0,0.035,0.01,0.055,0.025,0.055
-0.071,-0.179,-0.108,0.125,0.018,-0.143,0.0,0.035,0.01,0.055,0.028,0.055
-0.07,-0.182,-0.112,0.126,0.021,-0.147,0.0,0.035,0.01,0.057,0.031,0.055
-0.07,-0.185,-0.115,0.128,0.023,-0.15,0.0,0.034,0.01,0.061,0.029,0.054
-0.065,-0.185,-0.12,0.125,0.028,-0.152,0.0,0.03,0.01,0.065,0.03,0.055
-0.052,-0.189,-0.137,0.12,0.043,-0.163,0.0,0.03,0.01,0.069,0.043,0.072
-0.053,-0.191,-0.138,0.122,0.043,-0.164,0.0,0.03,0.01,0.071,0.043,0.073
-0.053,-0.188,-0.134,0.121,0.041,-0.161,0.0,0.03,0.01,0.068,0.039,0.069
-0.05,-0.185,-0.134,0.118,0.043,-0.16,0.001,0.03,0.01,0.065,0.04,0.069
-0.055,-0.185,-0.13,0.12,0.038,-0.157,0.005,0.03,0.01,0.065,0.04,0.065
-0.051,-0.181,-0.13,0.116,0.04,-0.155,0.005,0.026,0.01,0.065,0.036,0.065
-0.052,-0.179,-0.127,0.116,0.037,-0.153,0.005,0.025,0.011,0.062,0.035,0.066
-0.056,-0.181,-0.124,0.119,0.034,-0.152,0.005,0.025,0.008,0.059,0.035,0.063
-0.054,-0.179,-0.125,0.117,0.036,-0.152,0.005,0.025,0.005,0.06,0.035,0.06
-0.05,-0.175,-0.125,0.113,0.038,-0.15,0.005,0.025,0.005,0.06,0.035,0.06
-0.054,-0.175,-0.121,0.114,0.034,-0.147,0.005,0.025,0.005,0.056,0.031,0.06
-0.055,-0.176,-0.12,0.115,0.033,-0.147,0.005,0.026,0.006,0.054,0.03,0.057
-0.055,-0.173,-0.118,0.114,0.032,-0.145,0.005,0.023,0.003,0.056,0.03,0.054
-0.055,-0.17,-0.115,0.113,0.03,-0.142,0.005,0.02,0.0,0.054,0.03,0.055
-0.055,-0.17,-0.115,0.113,0.03,-0.142,0.005,0.02,0.0,0.05,0.03,0.055
-0.06,-0.17,-0.111,0.115,0.026,-0.141,0.001,0.02,0.0,0.05,0.026,0.051
-0.058,-0.167,-0.109,0.112,0.026,-0.138,0.0,0.02,0.001,0.051,0.024,0.05
-0.053,-0.164,-0.111,0.109,0.029,-0.137,0.0,0.02,-0.002,0.048,0.026,0.048
-0.057,-0.165,-0.109,0.111,0.026,-0.137,0.0,0.019,-0.005,0.045,0.024,0.044
-0.065,-0.165,-0.1,0.115,0.018,-0.132,0.0,0.015,-0.005,0.045,0.02,0.045
-0.065,-0.157,-0.092,0.111,0.014,-0.124,0.0,0.015,-0.005,0.045,0.02,0.045
-0.067,-0.151,-0.084,0.109,0.009,-0.118,0.0,0.015,-0.005,0.042,0.02,0.042
-0.073,-0.149,-0.076,0.111,0.002,-0.112,0.0,0.015,-0.005,0.039,0.02,0.039
-0.075,-0.143,-0.068,0.109,-0.003,-0.105,0.0,0.015,-0.006,0.04,0.019,0.04
-0.075,-0.135,-0.06,0.105,-0.007,-0.097,0.0,0.015,-0.01,0.04,0.015,0.04
-0.078,-0.131,-0.053,0.105,-0.012,-0.092,0.0,0.015,-0.01,0.036,0.015,0.036
-0.057,-0.126,-0.07,0.092,0.007,-0.097,0.0,0.018,-0.01,0.035,0.015,0.035
-0.042,-0.126,-0.085,0.084,0.022,-0.105,0.0,0.021,-0.01,0.035,0.015,0.035
-0.046,-0.131,-0.085,0.089,0.019,-0.107,-0.001,0.02,-0.011,0.035,0.016,0.036
-0.045,-0.13,-0.085,0.088,0.02,-0.107,-0.005,0.02,-0.015,0.035,0.02,0.04
-0.044,-0.13,-0.085,0.087,0.02,-0.107,-0.005,0.02,-0.015,0.039,0.02,0.044
-0.049,-0.133,-0.084,0.091,0.018,-0.109,-0.005,0.02,-0.015,0.04,0.023,0.048
-0.049,-0.136,-0.087,0.092,0.02,-0.111,-0.005,0.02,-0.015,0.04,0.025,0.051
-0.044,-0.135,-0.09,0.089,0.024,-0.112,-0.005,0.02,-0.015,0.04,0.026,0.049
-0.045,-0.135,-0.09,0.09,0.023,-0.112,-0.005,0.02,-0.015,0.04,0.03,0.045
-0.049,-0.139,-0.09,0.094,0.02,-0.114,-0.005,0.02,-0.011,0.04,0.03,0.045
-0.05,-0.14,-0.09,0.095,0.02,-0.115,-0.005,0.02,-0.01,0.041,0.033,0.045
-0.05,-0.14,-0.09,0.095,0.02,-0.115,-0.005,0.02,-0.01,0.038,0.036,0.045
-0.049,-0.14,-0.091,0.095,0.021,-0.115,-0.005,0.02,-0.01,0.035,0.035,0.045
-0.045,-0.14,-0.095,0.093,0.025,-0.117,-0.005,0.02,-0.01,0.035,0.035,0.045
-0.045,-0.14,-0.095,0.093,0.025,-0.117,-0.005,0.02,-0.01,0.035,0.035,0.045
-0.045,-0.14,-0.095,0.093,0.025,-0.117,-0.004,0.02,-0.01,0.035,0.035,0.045
-0.045,-0.14,-0.095,0.093,0.025,-0.117,-0.007,0.02,-0.01,0.035,0.035,0.045
-0.044,-0.139,-0.095,0.092,0.025,-0.117,-0.01,0.02,-0.01,0.035,0.035,0.045
-0.045,-0.14,-0.095,0.093,0.025,-0.117,-0.01,0.02,-0.01,0.035,0.035,0.045
-0.062,-0.157,-0.095,0.11,0.016,-0.126,-0.01,0.02,-0.01,0.035,0.035,0.045
-0.064,-0.159,-0.095,0.112,0.016,-0.127,-0.01,0.02,-0.01,0.035,0.035,0.045
-0.059,-0.154,-0.095,0.107,0.019,-0.125,-0.01,0.02,-0.01,0.035,0.035,0.045
-0.06,-0.155,-0.095,0.108,0.018,-0.125,-0.01,0.02,-0.01,0.035,0.035,0.045
-0.06,-0.155,-0.095,0.108,0.018,-0.125,-0.01,0.02,-0.01,0.035,0.035,0.045
-0.059,-0.155,-0.096,0.108,0.019,-0.125,-0.01,0.02,-0.01,0.035,0.035,0.045
-0.063,-0.155,-0.092,0.11,0.015,-0.124,-0.01,0.02,-0.01,0.035,0.035,0.045
-0.05,-0.155,-0.105,0.103,0.028,-0.13,-0.01,0.02,-0.01,0.035,0.035,0.045
-0.034,-0.155,-0.122,0.094,0.044,-0.138,-0.01,0.019,-0.01,0.035,0.034,0.045
-0.04,-0.155,-0.115,0.098,0.038,-0.135,-0.01,0.015,-0.01,0.035,0.03,0.045
-0.041,-0.151,-0.11,0.096,0.035,-0.131,-0.01,0.015,-0.01,0.035,0.03,0.045
-0.039,-0.15,-0.11,0.094,0.035,-0.13,-0.013,0.016,-0.01,0.035,0.031,0.045
-0.042,-0.15,-0.109,0.096,0.034,-0.129,-0.016,0.013,-0.01,0.035,0.028,0.045
-0.046,-0.15,-0.104,0.099,0.029,-0.126,-0.015,0.01,-0.01,0.035,0.025,0.045
-0.05,-0.15,-0.1,0.1,0.025,-0.125,-0.015,0.01,-0.01,0.035,0.025,0.045
-0.05,-0.15,-0.1,0.1,0.025,-0.125,-0.015,0.01,-0.01,0.035,0.025,0.045
-0.055,-0.15,-0.095,0.102,0.02,-0.122,-0.015,0.007,-0.009,0.035,0.026,0.042
-0.065,-0.151,-0.085,0.108,0.01,-0.118,-0.015,0.004,-0.012,0.035,0.023,0.039
-0.07,-0.149,-0.079,0.109,0.005,-0.114,-0.015,0.005,-0.015,0.035,0.02,0.04
-0.065,-0.14,-0.075,0.103,0.005,-0.107,-0.015,0.005,-0.015,0.035,0.02,0.04
-0.064,-0.131,-0.067,0.098,0.002,-0.099,-0.015,0.001,-0.019,0.031,0.02,0.04
-0.069,-0.127,-0.058,0.098,-0.005,-0.093,-0.015,-0.001,-0.02,0.03,0.02,0.04
-0.069,-0.122,-0.053,0.096,-0.008,-0.087,-0.015,0.001,-0.022,0.028,0.018,0.04
-0.064,-0.113,-0.049,0.088,-0.007,-0.08,-0.015,-0.001,-0.025,0.025,0.015,0.04
-0.06,-0.105,-0.045,0.083,-0.007,-0.075,-0.015,-0.005,-0.025,0.025,0.015,0.04
-0.056,-0.101,-0.045,0.079,-0.005,-0.073,-0.019,-0.005,-0.029,0.021,0.015,0.04
-0.055,-0.097,-0.042,0.076,-0.006,-0.069,-0.024,-0.004,-0.03,0.02,0.012,0.04
-0.053,-0.093,-0.04,0.073,-0.006,-0.066,-0.025,-0.007,-0.032,0.018,0.01,0.04
-0.05,-0.089,-0.039,0.069,-0.005,-0.064,-0.026,-0.01,-0.035,0.015,0.01,0.04
-0.05,-0.085,-0.035,0.068,-0.007,-0.06,-0.03,-0.01,-0.035,0.015,0.01,0.04
-0.05,-0.085,-0.035,0.068,-0.007,-0.06,-0.034,-0.01,-0.039,0.011,0.01,0.04
-0.047,-0.083,-0.035,0.065,-0.006,-0.058,-0.035,-0.013,-0.04,0.01,0.007,0.04
-0.042,-0.077,-0.035,0.06,-0.004,-0.056,-0.035,-0.016,-0.04,0.008,0.004,0.04
-0.04,-0.075,-0.035,0.058,-0.002,-0.055,-0.035,-0.015,-0.04,0.005,0.005,0.04
-0.04,-0.075,-0.035,0.058,-0.002,-0.055,-0.035,-0.015,-0.04,0.005,0.005,0.04
-0.036,-0.071,-0.035,0.054,0.0,-0.053,-0.035,-0.015,-0.04,0.001,0.005,0.04
-0.032,-0.066,-0.034,0.049,0.001,-0.05,-0.035,-0.018,-0.041,0.0,0.002,0.04
-0.029,-0.067,-0.038,0.048,0.005,-0.052,-0.035,-0.022,-0.036,-0.002,-0.001,0.04
-0.031,-0.061,-0.03,0.046,0.0,-0.045,-0.035,-0.026,-0.038,-0.006,0.0,0.039
-0.04,-0.03,0.01,0.035,-0.025,-0.01,-0.035,-0.03,-0.06,-0.005,0.0,0.035
-0.05,0.0,0.05,0.024,-0.051,0.025,-0.043,-0.034,-0.065,-0.005,-0.004,0.031
-0.042,0.01,0.052,0.016,-0.047,0.031,-0.049,-0.039,-0.065,-0.008,-0.006,0.026
-0.046,0.011,0.058,0.017,-0.052,0.034,-0.05,-0.04,-0.065,-0.011,-0.004,0.025
-0.062,0.016,0.078,0.023,-0.071,0.047,-0.05,-0.041,-0.065,-0.01,-0.006,0.024
-0.06,0.02,0.08,0.02,-0.07,0.05,-0.05,-0.045,-0.065,-0.01,-0.01,0.02
-0.056,0.024,0.08,0.016,-0.068,0.051,-0.05,-0.045,-0.065,-0.014,-0.01,0.016
-0.051,0.029,0.08,0.011,-0.066,0.054,-0.05,-0.045,-0.065,-0.016,-0.009,0.015
-0.05,0.03,0.08,0.01,-0.065,0.055,-0.05,-0.045,-0.065,-0.014,-0.012,0.014
-0.049,0.031,0.08,0.009,-0.065,0.055,-0.05,-0.045,-0.065,-0.016,-0.015,0.009
-0.045,0.035,0.08,0.005,-0.063,0.057,-0.05,-0.045,-0.065,-0.02,-0.015,0.005
-0.045,0.035,0.08,0.005,-0.063,0.057,-0.054,-0.045,-0.065,-0.02,-0.015,0.005
-0.045,0.035,0.079,0.005,-0.063,0.057,-0.055,-0.044,-0.065,-0.019,-0.018,0.002
-0.047,0.035,0.082,0.006,-0.065,0.058,-0.055,-0.047,-0.065,-0.022,-0.021,-0.001
-0.05,0.035,0.085,0.007,-0.068,0.06,-0.055,-0.05,-0.065,-0.025,-0.02,0.0
-0.05,0.035,0.085,0.007,-0.068,0.06,-0.055,-0.05,-0.065,-0.025,-0.02,0.0
-0.05,0.035,0.085,0.007,-0.068,0.06,-0.055,-0.05,-0.065,-0.025,-0.024,-0.004
-0.05,0.035,0.085,0.007,-0.068,0.06,-0.055,-0.05,-0.065,-0.028,-0.026,-0.006
-0.05,0.035,0.085,0.007,-0.068,0.06,-0.055,-0.05,-0.065,-0.031,-0.024,-0.004
-0.05,0.035,0.085,0.007,-0.068,0.06,-0.056,-0.05,-0.064,-0.03,-0.026,-0.006
-0.05,0.035,0.085,0.007,-0.068,0.06,-0.06,-0.05,-0.065,-0.03,-0.03,-0.01
-0.051,0.035,0.085,0.008,-0.069,0.06,-0.06,-0.05,-0.077,-0.034,-0.03,-0.01
-0.045,0.038,0.083,0.003,-0.064,0.06,-0.06,-0.053,-0.084,-0.035,-0.03,-0.009
